STATE,STATE_LOWER,COUNTY,COUNTY_STATE,METRO_FLAG,POULATION,VIOLENT_CRIME,CRIMES_PER_THOUSAND,MURDER_NON_NEGLIGENT_MANSLAUGHTER,RAPE_REVISED_DEFINITION,RAPE_LEGACTY_DEFINITION,ROBBERY,AGGRAVATED_ASSAULT,PROPERTY_CRIME,BURGLARY,LARCENY_THEFT,MOTOR_VEHICLE_THEFT,ARSON
Arkansas,arkansas,Greene,Greene County Arkansas,Nonmetropolitan Counties,"44,196",37,0.8372,0,4,,1,32,214,77,118,19,2
Ohio,ohio,Madison,Madison County Ohio,Metropolitan Counties,"44,094",18,0.4082,0,5,,3,10,367,121,228,18,2
Indiana,indiana,Jackson,Jackson County Indiana,Nonmetropolitan Counties,"44,069",30,0.6808,1,,3,1,25,376,78,282,16,
Georgia,georgia,Habersham,Habersham County Georgia,Nonmetropolitan Counties,"43,996",30,0.6819,1,,8,1,20,403,168,216,19,0
Alabama,alabama,Chilton,Chilton County Alabama,Metropolitan Counties,"43,943",120,2.7308,0,23,,1,96,575,263,274,38,
Ohio,ohio,Holmes,Holmes County Ohio,Nonmetropolitan Counties,"43,909",17,0.3872,0,15,,0,2,202,62,129,11,1
Ohio,ohio,Brown,Brown County Ohio,Metropolitan Counties,"43,839",22,0.5018,2,3,,3,14,383,156,218,9,0
Washington,washington,Stevens,Stevens County Washington,Metropolitan Counties,"43,791",42,0.9591,4,17,,4,17,583,253,286,44,0
Florida,florida,Suwannee,Suwannee County Florida,Nonmetropolitan Counties,"43,760",92,2.1024,1,4,,6,81,354,90,246,18,0
Arkansas,arkansas,Mississippi,Mississippi County Arkansas,Nonmetropolitan Counties,"43,738",34,0.7774,0,11,,9,14,365,106,232,27,1
Michigan,michigan,Branch,Branch County Michigan,Nonmetropolitan Counties,"43,664",8,0.1832,0,5,,0,3,94,29,62,3,1
Wisconsin,wisconsin,Douglas,Douglas County Wisconsin,Metropolitan Counties,"43,601",13,0.2982,0,,4,1,8,252,125,109,18,0
Kentucky,kentucky,Barren,Barren County Kentucky,Nonmetropolitan Counties,"43,570",5,0.1148,2,0,,0,3,105,42,47,16,3
California,california,Siskiyou,Siskiyou County California,Nonmetropolitan Counties,"43,554",39,0.8954,2,4,,6,27,158,70,79,9,0
Wisconsin,wisconsin,Polk,Polk County Wisconsin,Nonmetropolitan Counties,"43,441",80,1.8416,1,,4,0,75,289,74,184,31,2
Vermont,vermont,Windham,Windham County Vermont,Nonmetropolitan Counties,"43,386",4,0.0922,0,2,,0,2,23,7,16,0,0
Texas,texas,Wood,Wood County Texas,Nonmetropolitan Counties,"43,356",26,0.5997,0,4,,0,22,411,142,228,41,4
Washington,washington,Kittitas,Kittitas County Washington,Nonmetropolitan Counties,"43,269",10,0.2311,0,6,,0,4,205,65,129,11,0
Virginia,virginia,Shenandoah,Shenandoah County Virginia,Nonmetropolitan Counties,"43,190",36,0.8335,0,10,,1,25,283,56,216,11,1
Georgia,georgia,Coffee,Coffee County Georgia,Nonmetropolitan Counties,"43,108",68,1.5774,3,,12,11,42,904,231,627,46,
Michigan,michigan,Mecosta,Mecosta County Michigan,Nonmetropolitan Counties,"43,067",197,4.5743,0,17,,0,180,468,137,320,11,4
Ohio,ohio,Highland,Highland County Ohio,Nonmetropolitan Counties,"43,026",20,0.4648,0,10,,2,8,356,116,228,12,2
Iowa,iowa,Cerro Gordo,Cerro Gordo County Iowa,Nonmetropolitan Counties,"43,017",6,0.1395,0,1,,0,5,81,22,51,8,1
Iowa,iowa,Muscatine,Muscatine County Iowa,Nonmetropolitan Counties,"43,011",23,0.5347,0,4,,0,19,85,40,38,7,0
Missouri,missouri,Butler,Butler County Missouri,Nonmetropolitan Counties,"42,951",99,2.305,1,4,,5,89,441,115,286,40,0
Virginia,virginia,Tazewell,Tazewell County Virginia,Nonmetropolitan Counties,"42,899",40,0.9324,0,13,,4,23,413,110,290,13,3
Indiana,indiana,De Kalb,DeKalb County Indiana,Nonmetropolitan Counties,"42,589",12,0.2818,0,,7,3,2,269,62,195,12,0
Tennessee,tennessee,Lawrence,Lawrence County Tennessee,Nonmetropolitan Counties,"42,564",54,1.2687,1,7,,0,46,240,92,126,22,0
Minnesota,minnesota,Kandiyohi,Kandiyohi County Minnesota,Nonmetropolitan Counties,"42,542",17,0.3996,0,6,,0,11,198,38,148,12,1
Ohio,ohio,Fulton,Fulton County Ohio,Metropolitan Counties,"42,537",18,0.4232,0,8,,0,10,259,75,172,12,3
Nevada,nevada,Nye,Nye County Nevada,Nonmetropolitan Counties,"42,477",44,1.0359,2,6,,6,30,707,270,363,74,7
Ohio,ohio,Crawford,Crawford County Ohio,Nonmetropolitan Counties,"42,306",5,0.1182,0,2,,1,2,136,44,87,5,0
Missouri,missouri,Pettis,Pettis County Missouri,Nonmetropolitan Counties,"42,255",23,0.5443,0,0,,1,22,241,72,157,12,4
Ohio,ohio,Clinton,Clinton County Ohio,Nonmetropolitan Counties,"41,917",2,0.0477,0,0,,0,2,19,10,9,0,0
Pennsylvania,pennsylvania,Tioga,Tioga County Pennsylvania,Nonmetropolitan Counties,"41,877",0,0,0,0,,0,0,0,0,0,0,0
Idaho,idaho,Bonner,Bonner County Idaho,Nonmetropolitan Counties,"41,859",49,1.1706,0,14,,0,35,383,150,199,34,1
North Carolina,north carolina,Davie,Davie County North Carolina,Metropolitan Counties,"41,753",45,1.0778,0,,7,1,37,575,222,323,30,4
New York,new york,Orleans,Orleans County New York,Metropolitan Counties,"41,582",21,0.505,0,7,,0,14,186,69,108,9,0
Michigan,michigan,Gratiot,Gratiot County Michigan,Nonmetropolitan Counties,"41,540",26,0.6259,0,15,,2,9,316,51,256,9,1
Georgia,georgia,Polk,Polk County Georgia,Nonmetropolitan Counties,"41,524",0,0,0,,0,0,0,0,0,0,0,0
Georgia,georgia,Polk County Police Department,Polk County Georgia,Nonmetropolitan Counties,"41,524",42,1.0115,0,,3,4,35,623,215,335,73,2
Washington,washington,Okanogan,Okanogan County Washington,Nonmetropolitan Counties,"41,516",41,0.9876,1,6,,1,33,299,131,151,17,0
Texas,texas,Wharton,Wharton County Texas,Nonmetropolitan Counties,"41,486",67,1.615,1,14,,3,49,356,116,213,27,1
Michigan,michigan,Sanilac,Sanilac County Michigan,Nonmetropolitan Counties,"41,475",56,1.3502,0,12,,0,44,168,59,102,7,1
Oklahoma,oklahoma,Delaware,Delaware County Oklahoma,Nonmetropolitan Counties,"41,459",35,0.8442,0,4,,0,31,188,80,96,12,2
Texas,texas,Jim Wells,Jim Wells County Texas,Nonmetropolitan Counties,"41,382",75,1.8124,3,5,,0,67,287,145,119,23,2
Montana,montana,Ravalli,Ravalli County Montana,Nonmetropolitan Counties,"41,373",40,0.9668,0,3,,0,37,219,27,185,7,0
Wisconsin,wisconsin,Shawano,Shawano County Wisconsin,Nonmetropolitan Counties,"41,304",16,0.3874,0,,7,0,9,315,97,200,18,1
North Carolina,north carolina,Jackson,Jackson County North Carolina,Nonmetropolitan Counties,"41,265",72,1.7448,3,,7,2,60,681,373,273,35,1
Oklahoma,oklahoma,Sequoyah,Sequoyah County Oklahoma,Metropolitan Counties,"41,153",60,1.458,0,9,,1,50,379,137,216,26,8
Alabama,alabama,Dallas,Dallas County Alabama,Nonmetropolitan Counties,"41,131",81,1.9693,2,8,,9,62,447,152,257,38,
Texas,texas,Erath,Erath County Texas,Nonmetropolitan Counties,"41,122",19,0.462,0,3,,1,15,103,46,46,11,0
Louisiana,louisiana,Avoyelles,Avoyelles Parish Louisiana,Nonmetropolitan Counties,"41,103",102,2.4816,2,10,,3,87,441,137,291,13,6
Arkansas,arkansas,Baxter,Baxter County Arkansas,Nonmetropolitan Counties,"41,053",67,1.632,3,15,,2,47,612,81,503,28,0
New York,new york,Wyoming,Wyoming County New York,Nonmetropolitan Counties,"41,013",15,0.3657,1,7,,0,7,171,35,129,7,0
West Virginia,west virginia,Wayne,Wayne County West Virginia,Metropolitan Counties,"40,971",20,0.4882,0,1,,2,17,92,45,40,7,0
Ohio,ohio,Mercer,Mercer County Ohio,Nonmetropolitan Counties,"40,968",13,0.3173,0,8,,0,5,122,16,95,11,0
Colorado,colorado,Montrose,Montrose County Colorado,Nonmetropolitan Counties,"40,946",11,0.2686,0,2,,0,9,206,82,112,12,2
Wisconsin,wisconsin,Pierce,Pierce County Wisconsin,Metropolitan Counties,"40,889",16,0.3913,1,,0,0,15,132,54,78,0,0
Oklahoma,oklahoma,Mayes,Mayes County Oklahoma,Nonmetropolitan Counties,"40,887",35,0.856,0,7,,1,27,204,59,118,27,5
Wisconsin,wisconsin,Marinette,Marinette County Wisconsin,Nonmetropolitan Counties,"40,884",6,0.1468,1,,1,1,3,274,140,125,9,2
Ohio,ohio,Ottawa,Ottawa County Ohio,Nonmetropolitan Counties,"40,877",7,0.1712,0,,6,1,0,289,44,241,4,1
Alabama,alabama,Tallapoosa,Tallapoosa County Alabama,Nonmetropolitan Counties,"40,844",11,0.2693,1,2,,1,7,202,102,97,3,
Georgia,georgia,Tift,Tift County Georgia,Nonmetropolitan Counties,"40,764",98,2.4041,3,,5,17,73,633,167,436,30,
Texas,texas,Upshur,Upshur County Texas,Metropolitan Counties,"40,603",59,1.4531,2,12,,1,44,426,192,215,19,0
Washington,washington,Douglas,Douglas County Washington,Metropolitan Counties,"40,534",17,0.4194,0,3,,2,12,331,108,183,40,2
Texas,texas,Caldwell,Caldwell County Texas,Metropolitan Counties,"40,522",35,0.8637,0,0,,0,35,171,73,72,26,2
Pennsylvania,pennsylvania,Snyder,Snyder County Pennsylvania,Nonmetropolitan Counties,"40,444",0,0,0,0,,0,0,0,0,0,0,0
Tennessee,tennessee,Warren,Warren County Tennessee,Nonmetropolitan Counties,"40,435",53,1.3107,2,1,,1,49,354,111,203,40,2
Pennsylvania,pennsylvania,Warren,Warren County Pennsylvania,Nonmetropolitan Counties,"40,396",0,0,0,0,,0,0,0,0,0,0,0
Texas,texas,Kendall,Kendall County Texas,Metropolitan Counties,"40,384",14,0.3467,0,5,,0,9,170,47,114,9,2
Wyoming,wyoming,Fremont,Fremont County Wyoming,Nonmetropolitan Counties,"40,315",23,0.5705,0,1,,0,22,127,22,95,10,0
Arkansas,arkansas,Union,Union County Arkansas,Nonmetropolitan Counties,"40,144",41,1.0213,1,0,,3,37,357,102,217,38,1
Missouri,missouri,Howell,Howell County Missouri,Nonmetropolitan Counties,"40,117",34,0.8475,0,1,,2,31,281,80,177,24,3
Iowa,iowa,Des Moines,Des Moines County Iowa,Nonmetropolitan Counties,"40,055",15,0.3745,0,4,,1,10,123,48,66,9,0
Idaho,idaho,Nez Perce,Nez Perce County Idaho,Metropolitan Counties,"40,048",7,0.1748,0,0,,0,7,87,27,53,7,0
Louisiana,louisiana,Webster,Webster Parish Louisiana,Metropolitan Counties,"40,021",103,2.5736,1,6,,1,95,222,119,87,16,0
Maine,maine,Knox,Knox County Maine,Nonmetropolitan Counties,"39,855",11,0.276,0,,3,0,8,209,50,149,10,0
Florida,florida,Levy,Levy County Florida,Nonmetropolitan Counties,"39,832",363,9.1133,3,13,,4,343,452,147,270,35,0
North Carolina,north carolina,Pasquotank,Pasquotank County North Carolina,Nonmetropolitan Counties,"39,829",43,1.0796,1,,1,8,33,225,101,116,8,0
Tennessee,tennessee,Campbell,Campbell County Tennessee,Metropolitan Counties,"39,752",88,2.2137,1,12,,8,67,521,188,297,36,4
Tennessee,tennessee,Cheatham,Cheatham County Tennessee,Metropolitan Counties,"39,741",116,2.9189,0,11,,5,100,482,163,276,43,5
Virginia,virginia,Wise,Wise County Virginia,Nonmetropolitan Counties,"39,718",54,1.3596,1,31,,3,19,352,93,243,16,4
Minnesota,minnesota,Benton,Benton County Minnesota,Metropolitan Counties,"39,710",24,0.6044,0,13,,0,11,209,42,142,25,1
Utah,utah,Summit,Summit County Utah,Nonmetropolitan Counties,"39,633",35,0.8831,0,,6,2,27,440,34,388,18,0
Pennsylvania,pennsylvania,Clarion,Clarion County Pennsylvania,Nonmetropolitan Counties,"39,498",0,0,0,0,,0,0,0,0,0,0,0
Illinois,illinois,Franklin,Franklin County Illinois,Nonmetropolitan Counties,"39,485",17,0.4305,0,0,,0,17,179,37,132,10,2
Florida,florida,Okeechobee,Okeechobee County Florida,Nonmetropolitan Counties,"39,469",145,3.6738,0,7,,11,127,908,202,665,41,0
New Mexico,new mexico,Rio Arriba,Rio Arriba County New Mexico,Nonmetropolitan Counties,"39,465",71,1.7991,1,,3,4,63,205,115,77,13,
Texas,texas,Cooke,Cooke County Texas,Nonmetropolitan Counties,"39,229",0,0,0,0,,0,0,0,0,0,0,0
Illinois,illinois,Woodford,Woodford County Illinois,Metropolitan Counties,"39,227",7,0.1784,0,4,,0,3,83,23,56,4,0
Kansas,kansas,Crawford,Crawford County Kansas,Nonmetropolitan Counties,"39,217",30,0.765,1,4,,1,24,166,50,105,11,4
Oklahoma,oklahoma,Okmulgee,Okmulgee County Oklahoma,Metropolitan Counties,"39,187",29,0.74,0,8,,1,20,232,91,114,27,9
Louisiana,louisiana,Natchitoches,Natchitoches Parish Louisiana,Nonmetropolitan Counties,"39,179",40,1.021,0,3,,5,32,437,72,329,36,0
Tennessee,tennessee,Fayette,Fayette County Tennessee,Metropolitan Counties,"39,165",60,1.532,1,2,,4,53,308,96,179,33,0
Maine,maine,Waldo,Waldo County Maine,Nonmetropolitan Counties,"39,155",11,0.2809,0,,7,1,3,146,68,66,12,2
Florida,florida,Hendry,Hendry County Florida,Nonmetropolitan Counties,"39,119",235,6.0073,2,19,,28,186,865,413,415,37,2
Minnesota,minnesota,Mower,Mower County Minnesota,Nonmetropolitan Counties,"39,116",15,0.3835,1,3,,1,10,101,41,46,14,0
Virginia,virginia,Warren,Warren County Virginia,Metropolitan Counties,"39,083",32,0.8188,1,16,,2,13,282,25,246,11,1
Ohio,ohio,Champaign,Champaign County Ohio,Nonmetropolitan Counties,"38,987",20,0.513,0,3,,1,16,271,95,163,13,4
Texas,texas,Chambers,Chambers County Texas,Metropolitan Counties,"38,863",121,3.1135,4,11,,12,94,718,140,499,79,3
Indiana,indiana,LaGrange,LaGrange County Indiana,Nonmetropolitan Counties,"38,809",40,1.0307,1,,7,4,28,160,51,96,13,0
South Dakota,south dakota,Brown,Brown County South Dakota,Nonmetropolitan Counties,"38,785",5,0.1289,0,2,,1,2,76,33,34,9,1
Idaho,idaho,Latah,Latah County Idaho,Nonmetropolitan Counties,"38,778",13,0.3352,0,2,,1,10,151,51,90,10,0
Minnesota,minnesota,Isanti,Isanti County Minnesota,Metropolitan Counties,"38,429",23,0.5985,0,2,,0,21,306,93,199,14,1
Illinois,illinois,Jefferson,Jefferson County Illinois,Nonmetropolitan Counties,"38,353",44,1.1472,0,3,,1,40,218,66,139,13,5
Ohio,ohio,Defiance,Defiance County Ohio,Nonmetropolitan Counties,"38,352",14,0.365,0,12,,0,2,131,27,100,4,0
Kentucky,kentucky,Calloway,Calloway County Kentucky,Nonmetropolitan Counties,"38,343",12,0.313,1,0,,3,8,201,93,99,9,1
Idaho,idaho,Madison,Madison County Idaho,Nonmetropolitan Counties,"38,273",10,0.2613,0,4,,1,5,71,11,56,4,0
Indiana,indiana,Montgomery,Montgomery County Indiana,Nonmetropolitan Counties,"38,227",6,0.157,0,3,,0,3,201,62,124,15,
Oklahoma,oklahoma,Pontotoc,Pontotoc County Oklahoma,Nonmetropolitan Counties,"38,194",27,0.7069,0,3,,0,24,290,102,151,37,5
Missouri,missouri,Lawrence,Lawrence County Missouri,Nonmetropolitan Counties,"38,180",66,1.7287,1,3,,0,62,357,155,187,15,1
Oklahoma,oklahoma,McClain,McClain County Oklahoma,Metropolitan Counties,"38,066",24,0.6305,1,5,,1,17,236,71,135,30,3
Michigan,michigan,Chippewa,Chippewa County Michigan,Nonmetropolitan Counties,"38,033",11,0.2892,0,5,,0,6,53,16,37,0,0
South Carolina,south carolina,Newberry,Newberry County South Carolina,Nonmetropolitan Counties,"38,012",103,2.7097,1,7,,1,94,293,89,188,16,1
Indiana,indiana,Cass,Cass County Indiana,Nonmetropolitan Counties,"37,979",10,0.2633,0,,0,0,10,164,25,137,2,
Wyoming,wyoming,Albany,Albany County Wyoming,Nonmetropolitan Counties,"37,956",10,0.2635,0,0,,0,10,46,19,23,4,0
Utah,utah,Uintah,Uintah County Utah,Nonmetropolitan Counties,"37,928",38,1.0019,0,15,,1,22,270,56,197,17,2
Indiana,indiana,Knox,Knox County Indiana,Nonmetropolitan Counties,"37,927",12,0.3164,0,,1,2,9,57,15,35,7,0
Texas,texas,Brown,Brown County Texas,Nonmetropolitan Counties,"37,896",27,0.7125,0,0,,5,22,155,59,92,4,2
Tennessee,tennessee,Dyer,Dyer County Tennessee,Nonmetropolitan Counties,"37,893",30,0.7917,0,4,,3,23,298,80,189,29,3
Virginia,virginia,Prince George County Police Department,Prince George County Virginia,Metropolitan Counties,"37,862",40,1.0565,1,7,,5,27,343,51,268,24,1
Alabama,alabama,Covington,Covington County Alabama,Nonmetropolitan Counties,"37,835",36,0.9515,0,12,,0,24,232,86,119,27,
Oregon,oregon,Clatsop,Clatsop County Oregon,Nonmetropolitan Counties,"37,831",14,0.3701,0,,1,2,11,212,63,129,20,3
Illinois,illinois,Clinton,Clinton County Illinois,Metropolitan Counties,"37,786",10,0.2646,0,0,,0,10,92,20,64,8,1
Kentucky,kentucky,Floyd,Floyd County Kentucky,Nonmetropolitan Counties,"37,756",4,0.1059,0,0,,2,2,41,12,25,4,0
South Carolina,south carolina,Colleton,Colleton County South Carolina,Nonmetropolitan Counties,"37,731",255,6.7584,1,24,,16,214,766,212,499,55,15
Arizona,arizona,Graham,Graham County Arizona,Nonmetropolitan Counties,"37,666",15,0.3982,1,2,,0,12,159,41,102,16,13
North Carolina,north carolina,Yadkin,Yadkin County North Carolina,Metropolitan Counties,"37,585",89,2.368,1,,3,4,81,626,249,351,26,4
Maryland,maryland,Talbot,Talbot County Maryland,Nonmetropolitan Counties,"37,512",8,0.2133,0,3,,3,2,148,51,93,4,0
Missouri,missouri,Webster,Webster County Missouri,Metropolitan Counties,"37,483",41,1.0938,0,4,,2,35,304,101,183,20,0
Kentucky,kentucky,Graves,Graves County Kentucky,Nonmetropolitan Counties,"37,421",17,0.4543,0,5,,2,10,254,113,117,24,0
North Carolina,north carolina,Alexander,Alexander County North Carolina,Metropolitan Counties,"37,325",60,1.6075,1,,4,3,52,530,191,311,28,7
